service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000012015091020160624,1,1,1,1,1,1,1,20150910,20160624
0000000012015091820160624,1,1,1,1,1,1,1,20150918,20160624
0000000012015101220160624,1,1,1,1,1,1,1,20151012,20160624
0000000012015111020160624,1,1,1,1,1,1,1,20151110,20160624
0000000012015120820160329,1,1,1,1,1,1,1,20151208,20160329
0000000012015121320160624,1,1,1,1,1,1,1,20151213,20160624
0000000022015091020160624,1,1,1,1,1,1,0,20150910,20160624
0000000022015091120160624,1,1,1,1,1,1,0,20150911,20160624
0000000022015091420160624,1,1,1,1,1,1,0,20150914,20160624
0000000022015091620160624,1,1,1,1,1,1,0,20150916,20160624
0000000022015091720160624,1,1,1,1,1,1,0,20150917,20160624
0000000022015091820160624,1,1,1,1,1,1,0,20150918,20160624
0000000022015092120160624,1,1,1,1,1,1,0,20150921,20160624
0000000022015092220160624,1,1,1,1,1,1,0,20150922,20160624
0000000022015092320160624,1,1,1,1,1,1,0,20150923,20160624
0000000022015093020160624,1,1,1,1,1,1,0,20150930,20160624
0000000022015100120160624,1,1,1,1,1,1,0,20151001,20160624
0000000022015100220160624,1,1,1,1,1,1,0,20151002,20160624
0000000022015100520160624,1,1,1,1,1,1,0,20151005,20160624
0000000022015100720160624,1,1,1,1,1,1,0,20151007,20160624
0000000022015101220160624,1,1,1,1,1,1,0,20151012,20160624
0000000022015102120160624,1,1,1,1,1,1,0,20151021,20160624
0000000022015102520160624,1,1,1,1,1,1,0,20151025,20160624
0000000022015102720160624,1,1,1,1,1,1,0,20151027,20160624
0000000022015102820160624,1,1,1,1,1,1,0,20151028,20160624
0000000022015110220160624,1,1,1,1,1,1,0,20151102,20160624
0000000022015111020160624,1,1,1,1,1,1,0,20151110,20160624
0000000022015113020160624,1,1,1,1,1,1,0,20151130,20160624
0000000022015120820160106,1,1,1,1,1,1,0,20151208,20160106
0000000022015120820160329,1,1,1,1,1,1,0,20151208,20160329
0000000022015120920160624,1,1,1,1,1,1,0,20151209,20160624
0000000022015121320160624,1,1,1,1,1,1,0,20151213,20160624
0000000022015121720160624,1,1,1,1,1,1,0,20151217,20160624
0000000042015091020160607,1,1,1,1,1,0,0,20150910,20160607
0000000042015091020160624,1,1,1,1,1,0,0,20150910,20160624
0000000042015091120160624,1,1,1,1,1,0,0,20150911,20160624
0000000042015091420160624,1,1,1,1,1,0,0,20150914,20160624
0000000042015091620160624,1,1,1,1,1,0,0,20150916,20160624
0000000042015091820160624,1,1,1,1,1,0,0,20150918,20160624
0000000042015092120160624,1,1,1,1,1,0,0,20150921,20160624
