route_id,service_id,trip_id,trip_headsign,direction_id
636,0000000052015091020160624,0001875542015091020160624,Carisolo,0
562,0000000022015091020160624,0001864002015091020160624,Pergine V.-C.Intermodale,0
324,0000000012015091020160624,0001905562015091020160624,Somrabbi,0
98,0000000022015091020160624,0001879132015091020160624,Borgo V.-C.Intermodale,0
334,0000000072015120820160329,0001931982015120820160329,Male',0
155,0000000022015091020160624,0001858472015091020160624,Ponte Arche-Autost.,0
116,0000000022015121320160624,0001999332015121320160624,Caoria,0
634,0000000092015091020160624,0001936202015091020160624,Bolognano,0
120,0000000022015091020160624,0001930272015091020160624,Trento-Autostaz.,0
134,0000000022015091020160624,0001881062015091020160624,Trento-Autostaz.,0
549,0000000052015091020160624,0001907932015091020160624,Pergine V.-C.Intermodale,0
366,0000000062015092120160624,0001992132015092120160624,Cles-Autostazione,0
108,0000000072015091020160624,0001937532015091020160624,Borgo V.-C.Intermodale,0
345,0000000052015091020160624,0001887002015091020160624,Molveno-Lido Lago,0
507,0000000022015091420160624,0001989182015091420160624,Avio-Via M.Baldo,0
352,0000000022015091020160624,0001933242015091020160624,Marilleva 900,0
309,0000000022015091020160624,0001860512015091020160624,Falesina,0
181,0000000022015091020160624,0001896862015091020160624,Trento-Autostaz.,0
391,0000000022015091020160624,0001933582015091020160624,Cles-Autostazione,0
3,0000000042015091020160624,0001884652015091020160624,Grauno,0
159,0000000052015091020160624,0001886662015091020160624,Lundo,0
198,0000000042015113020160624,0001999512015113020160624,Zoreri-Soldati,0
134,0000000022015091020160624,0001881082015091020160624,Trento-Autostaz.,0
108,0000000052015091020160624,0001937942015091020160624,Feltre-Staz. Fs,0
423,0000000022015091020160624,0001909802015091020160624,Riva Del G.-Autostaz.,0
423,0000000022015091020160624,0001909882015091020160624,Riva Del G.-Autostaz.,0
375,0000000042015092320160624,0001993322015092320160624,Dermulo,0
60,0000000042015091020160624,0001863232015091020160624,Palu' di Giovo,0
334,0000000072015120820160329,0001932012015120820160329,Male',0
215,0000000052015091020160624,0001909932015091020160624,Raossi,0
334,0000000072015120820160329,0001932042015120820160329,Male',0
336,0000000012015120820160329,0001935532015120820160329,Cogolo,0
507,0000000062015091020160624,0001890162015091020160624,Ala-Stazione Fs,0
397,0000000052015091020160624,0001920362015091020160624,Portolo,0
552,0000004512015091020160624,0001891182015091020160624,Pergine V.-C.Intermodale,0
352,0000000072015091020160624,0001933442015091020160624,Male' Ferrovia,0
117,0000000052015091020160624,0001884742015091020160624,Cavalese-Autostaz.,0
554,0000004512015091020160624,0001891102015091020160624,Pergine V.-C.Intermodale,0
326,0000000052015091020160624,0001910502015091020160624,Belvedere,0
565,0000000042015091020160624,0001924412015091020160624,Sopramonte,0
1,0000000012015091020160624,0001922412015091020160624,Cavalese-Autostaz.,0
352,0000000022015091020160624,0001933882015091020160624,Trento-Staz. Ftm,0
186,0000000052015091020160624,0001861392015091020160624,Trento-Autostaz.,0
332,0000004512015120820160329,0001904592015120820160329,Passo Tonale,0
638,0000000042015091020160624,0001918062015091020160624,Ora-Stazione Fstrenitalia,0
186,0000000042015091020160624,0001861312015091020160624,Centa,0
86,0000000022015091020160624,0001869282015091020160624,Borgo V.-C.Intermodale,0
334,0000000022015120820160329,0001931992015120820160329,Male',0
1,0000000012015091020160624,0001930042015091020160624,Trento-Autostaz.,0
375,0000000072015091020160624,0001919772015091020160624,Fondo-Via Garibaldi,0
375,0000000052015091020160624,0001934832015091020160624,Fondo-Via Garibaldi,0
116,0000000022015091020160624,0001874632015091020160624,Caoria,0
366,0000000022015092120160624,0001992272015092120160624,Cles-Autostazione,0
345,0000000072015091020160624,0001919092015091020160624,Mezzocorona-Staz.Fs,0
397,0000000052015091020160624,0001863962015091020160624,Cles-Autostazione,0
